iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
50,[0- [1- None- 2- [3- None]]],2,1.04,18000.64,0.82,99.98888990114234,0.28,26.923076923076927,866.7775897635901,292.7872247619876,33.778818028952976
50,[0- [1- None- 2- [3- None]]],4,2.14,2001.2,1.44,99.90010987913296,1.3,60.747663551401864,1699.5604064018803,1346.019612318494,79.19810365364633
50,[0- [1- None- 2- [3- None]]],6,2.88,1.28,1.9,12.280701754385964,1.92,66.66666666666666,2689.09852884608,2239.7397250871854,83.28961178110053
50,[0- [1- None- 2- [3- None]]],10,5.16,2.02,3.28,33.77483443708609,4.42,85.65891472868215,4935.6753334192545,4749.755744220578,96.23314791514298
50,[0- [1- None- 2- [3- None]]],16,7.74,3.14,4.6,51.690821256038646,6.86,88.63049095607235,7523.051315712114,7364.393571642196,97.89104530313976
50,[0- [1- None- 2- [3- None]]],26,13.14,5.72,7.42,70.23809523809523,12.24,93.15068493150685,12733.310290666575,12598.952447024569,98.94483177920755
50,[0- [1- None- 2- [3- None]]],50,24.84,11.06,13.78,83.41625207296849,24.0,96.61835748792272,24536.05027497089,24498.130214727764,99.84545165249435
50,[0- [1- None- 2- [3- None]]],100,50.44,23.32,27.12,91.77631578947368,49.58,98.29500396510706,50770.266264966776,50742.908775818185,99.94611513556808
50,[0- [1- None- 2- [3- None]]],500,251.24,121.94,129.3,98.37319017406864,250.36,99.64973730297724,251231.89083647038,251225.93420476108,99.99762903041908
50,[0- [1- None- 2- [3- None]]],1000,499.0,244.68,254.32,99.18593292087269,498.2,99.83967935871745,497674.1634448738,497671.6050124213,99.99948592218756
50,[0- [1- None- 2- [3- None]]],2000,1003.38,493.58,509.8,99.59561648267216,1002.54,99.91628296358307,1000201.1399924218,1000199.584869102,99.99984451894147
50,[0- [1- None- 2- [3- None]]],5000,2500.34,1238.68,1261.66,99.83866804336606,2499.48,99.9656046777638,2500121.79845556,2500121.399302638,99.99998403466093
50,[0- [1- None- 2- [3- None]]],2,1.04,14000.72,0.86,99.98571604060072,0.36,34.61538461538461,827.9613271242332,451.58033373330994,54.54123507214869
50,[0- [1- None- 2- [3- None]]],4,2.12,1.14,1.38,6.542056074766352,1.22,57.54716981132076,1776.3503436692317,1376.3545906321206,77.48215860330349
50,[0- [1- None- 2- [3- None]]],6,2.98,1.28,1.92,12.280701754385964,2.08,69.79865771812081,2784.462729474644,2402.117433098669,86.26861504272625
50,[0- [1- None- 2- [3- None]]],10,5.14,2.1,3.12,35.483870967741936,4.24,82.49027237354085,4908.9775856096885,4628.80408815082,94.29263033752329
50,[0- [1- None- 2- [3- None]]],16,8.34,3.5,4.84,55.55555555555556,7.46,89.44844124700239,8035.673011977455,7831.430733440056,97.4583052566603
50,[0- [1- None- 2- [3- None]]],26,13.44,5.72,7.72,70.23809523809523,12.48,92.85714285714286,12943.27280360396,12826.469977635981,99.09757889105562
50,[0- [1- None- 2- [3- None]]],50,24.66,11.08,13.58,83.44370860927152,23.84,96.67477696674777,24200.88091196998,24156.843178006286,99.81803251656879
50,[0- [1- None- 2- [3- None]]],100,50.2,23.2,27.0,91.73553719008264,49.34,98.28685258964144,49473.276830795854,49444.83815955304,99.94251710607308
50,[0- [1- None- 2- [3- None]]],500,248.68,120.88,127.8,98.35904168034132,247.74,99.6220041820814,248483.67296343273,248478.25791599683,99.99782076328343
50,[0- [1- None- 2- [3- None]]],1000,502.52,245.92,256.6,99.19002105945245,501.76,99.84876223831888,500627.6842835307,500625.21526917414,99.99950681625606
50,[0- [1- None- 2- [3- None]]],2000,1000.52,493.36,507.16,99.59543652399061,999.76,99.92403949946028,998696.8874422865,998695.8602885167,99.99989715059868
50,[0- [1- None- 2- [3- None]]],5000,2504.72,1241.96,1262.76,99.83909377614725,2503.7,99.95927688524067,2505609.063043165,2505608.38241274,99.99997283572945
